stockname,Mean_return,Standard_deviation,VAR_90,VAR_95,VAR_99,Beta
INFIBEAM.NS,0.001560437,0.040307529,-0.02651119,-0.039531632,-0.10459667,0.752668995
INFRATEL.NS,5.82E-05,0.027425656,-0.027507123,-0.038433259,-0.080254287,0.759973425
INFY.NS,0.000880792,0.017957768,-0.016824108,-0.023638663,-0.047890416,0.859522167
INTELLECT.NS,0.001354731,0.031777503,-0.033025982,-0.046181684,-0.07417141,0.695287552
IOB.NS,-0.000296142,0.022917921,-0.02122548,-0.03169373,-0.05211889,0.797766244
IOC.NS,0.000312056,0.020924834,-0.022995389,-0.030275155,-0.052701227,0.976972276
IOLCP.NS,0.002527663,0.034691121,-0.03244257,-0.046478512,-0.085259969,0.726576228
IPCALAB.NS,0.001195372,0.022306503,-0.021551304,-0.029394657,-0.052678866,0.503189143
IRCTC.NS,0.002884122,0.030016906,-0.025522952,-0.0489838,-0.076245323,0.519255828
ISEC.NS,0.000332827,0.029748847,-0.029978145,-0.043360471,-0.071789119,0.482346533
ITC.NS,0.000283338,0.01754449,-0.017073352,-0.023082121,-0.036548978,0.830169864
ITI.NS,0.002082963,0.039593347,-0.03595464,-0.047650006,-0.078046317,0.925452831
JCHAC.NS,0.001003624,0.025275403,-0.022094434,-0.032024957,-0.05678841,0.74556312
JINDALSTEL.NS,0.00203283,0.035663808,-0.038171403,-0.052812291,-0.094926489,1.580901715
JSWENERGY.NS,0.00040498,0.024369391,-0.026580163,-0.035883556,-0.06027269,0.273532776
JSWSTEEL.NS,0.001421577,0.022686658,-0.024331531,-0.033260923,-0.05387819,1.042058341
JUBILANT.NS,0.001383342,0.029228436,-0.030390393,-0.038974112,-0.065882297,0.727229654
JUBLFOOD.NS,0.001655722,0.02450886,-0.023393117,-0.033810091,-0.065268428,0.763987777
JYOTHYLAB.NS,0.000342103,0.021369602,-0.021805816,-0.0310009,-0.047875366,0.420200863
KAJARIACER.NS,0.000775125,0.020714593,-0.020999733,-0.027805588,-0.051119704,0.312092056
KANSAINER.NS,0.000857823,0.020009774,-0.019240872,-0.026659425,-0.053030574,0.807955391
KARURVYSYA.NS,0.000119024,0.023953104,-0.022933536,-0.033123907,-0.053824926,1.122085087
KEC.NS,0.001444627,0.023813655,-0.024378524,-0.031436226,-0.053680863,0.575974923
KNRCON.NS,0.001578661,0.023930891,-0.023347608,-0.032219433,-0.055321227,0.922837956
KOTAKBANK.NS,0.001084285,0.01789639,-0.016387395,-0.024212476,-0.044611456,1.011398979
KPITTECH.NS,0.001157695,0.031830757,-0.033900285,-0.043091687,-0.073828194,0.672721151
KRBL.NS,0.000586358,0.031749862,-0.028924988,-0.043644364,-0.085217755,0.07445655
KSCL.NS,0.000698034,0.025149981,-0.026098791,-0.03697757,-0.059334737,0.647660379
L&TFH.NS,0.000850388,0.027772538,-0.028304259,-0.038294869,-0.075791563,1.297206985
LALPATHLAB.NS,0.001108908,0.0205734,-0.020644139,-0.028406755,-0.050356963,0.397182123
