stockname,Mean_return,Standard_deviation,VAR_90,VAR_95,VAR_99,Beta
SBILIFE.NS,0.000434871,0.019890326,-0.019917509,-0.02891363,-0.053863131,0.449250165
SBIN.NS,0.001063108,0.024448022,-0.024000155,-0.034987637,-0.059228034,1.672798294
SEQUENT.NS,0.000844181,0.031835656,-0.033639579,-0.04478354,-0.076203801,0.914272147
SFL.NS,0.000876411,0.018977008,-0.018782419,-0.025771729,-0.044595811,0.518910012
SHARDACROP.NS,0.000604238,0.02713861,-0.026835695,-0.036248182,-0.062091008,0.45978525
SHILPAMED.NS,0.000442022,0.027988214,-0.027250081,-0.040798431,-0.061040204,0.450776258
SIEMENS.NS,0.000699744,0.018525814,-0.018794198,-0.026275517,-0.045254682,0.956234525
SKFINDIA.NS,0.000799479,0.016780567,-0.015183179,-0.019681056,-0.035653453,0.658619035
SOLARA.NS,0.003458505,0.036791255,-0.035580594,-0.049848382,-0.087202272,0.312698994
SOLARINDS.NS,0.00070192,0.0156531,-0.015671467,-0.021394735,-0.034147179,0.335709876
SONATSOFTW.NS,0.001166865,0.024503202,-0.024980937,-0.03352833,-0.055185204,0.746061045
SPARC.NS,0.00013814,0.029436157,-0.028415713,-0.039908894,-0.065733959,0.893543053
SPENCERS.NS,-0.001246581,0.038816006,-0.041369433,-0.049995592,-0.089955261,0.824691779
SRF.NS,0.001558224,0.022136588,-0.020696046,-0.028658173,-0.056248419,0.909912942
STAR.NS,0.000319958,0.028729417,-0.027934432,-0.037273729,-0.070474635,0.691706398
SUDARSCHEM.NS,0.001884265,0.028803623,-0.024987931,-0.036246702,-0.06420743,0.541115124
SUMICHEM.NS,0.002111129,0.030652971,-0.029602264,-0.039085337,-0.070910105,0.577393116
SUNPHARMA.NS,-2.15E-06,0.020787026,-0.021436402,-0.029609939,-0.059948078,0.818041018
SUNTV.NS,0.000764534,0.026158836,-0.027750556,-0.037591367,-0.059958419,1.086097856
SUVENPHAR.NS,0.005511732,0.040572412,-0.039977557,-0.049945918,-0.076996229,0.507830223
SWSOLAR.NS,-0.00213292,0.04188032,-0.049797376,-0.054008258,-0.102149352,0.92944961
SYNGENE.NS,0.001105869,0.019454829,-0.020190675,-0.02707716,-0.043137255,0.49519891
TATACHEM.NS,0.000767935,0.02437702,-0.017578164,-0.025015425,-0.048334892,0.899179059
TATACONSUM.NS,0.001653205,0.021951318,-0.020763684,-0.029266558,-0.053487744,0.717237268
TATAELXSI.NS,0.0011904,0.023747801,-0.024351189,-0.033653094,-0.060803593,0.917132085
TATAMOTORS.NS,0.000626465,0.030916966,-0.030609075,-0.041782518,-0.080852848,1.89564646
TATAPOWER.NS,0.000624592,0.022083965,-0.023281722,-0.035377169,-0.054097782,1.533308221
TATASTEEL.NS,0.001257562,0.024086404,-0.02512095,-0.035083026,-0.063612472,1.248994334
TCIEXP.NS,0.001305336,0.025466849,-0.025814427,-0.03336513,-0.059625594,0.304673035
TCS.NS,0.001007602,0.016379228,-0.016959228,-0.0242483,-0.043495224,0.694611583
TECHM.NS,0.000861677,0.019550937,-0.01994231,-0.027468411,-0.047424272,0.865051297
THYROCARE.NS,0.000613376,0.021886194,-0.019288762,-0.027653317,-0.054439905,0.541097726
TITAN.NS,0.001420237,0.021448387,-0.020524453,-0.028735862,-0.054639072,0.83179101
TORNTPHARM.NS,0.000816316,0.01917578,-0.019850955,-0.026058739,-0.047024369,0.360531793
TORNTPOWER.NS,0.000596805,0.021859584,-0.023011365,-0.030404384,-0.052390372,0.668929692
TRENT.NS,0.001557707,0.02341055,-0.021046058,-0.028048444,-0.053719155,0.790811425
TV18BRDCST.NS,0.000324097,0.03061095,-0.03110178,-0.045652968,-0.073858721,0.72361712
TVSMOTOR.NS,0.000903564,0.021328395,-0.023062774,-0.031851717,-0.051066672,0.682717737
UBL.NS,0.000559198,0.019016237,-0.019163512,-0.02924131,-0.04646117,0.492632621
UCOBANK.NS,-0.000306885,0.027585772,-0.02459524,-0.036928069,-0.059219385,0.587669945
ULTRACEMCO.NS,0.000862655,0.018414261,-0.019929469,-0.026526272,-0.040971604,1.042534006
UNIONBANK.NS,-0.000594506,0.029264116,-0.03046916,-0.043698397,-0.075648886,0.737080444
UPL.NS,0.000869899,0.023343783,-0.021661493,-0.032452373,-0.068602168,0.592070023
VEDL.NS,0.001277032,0.028858377,-0.028663305,-0.037535625,-0.085254251,1.140789076
VGUARD.NS,0.00131699,0.021133224,-0.019939602,-0.027600971,-0.049530987,0.008017092
VINATIORGA.NS,0.001815333,0.023579626,-0.023273534,-0.031890153,-0.053576007,0.625891171
VIPIND.NS,0.001478101,0.026723742,-0.027562254,-0.036495062,-0.052498624,0.826889579
VMART.NS,0.001692428,0.02819013,-0.029092955,-0.042530969,-0.056329798,0.405239406
VOLTAS.NS,0.001400909,0.020407376,-0.020940713,-0.029349691,-0.051042335,0.901836474
WHIRLPOOL.NS,0.001329096,0.020459969,-0.019917855,-0.028073799,-0.051288569,0.505130496
WIPRO.NS,0.000791713,0.016440068,-0.01686464,-0.023575559,-0.040854174,0.766483662
WOCKPHARMA.NS,-7.77E-06,0.029740786,-0.029934557,-0.042015589,-0.071268856,1.113652784
ZEEL.NS,6.21E-05,0.030979604,-0.028827537,-0.043464428,-0.084016221,1.18673428
ZENSARTECH.NS,0.000520149,0.024146846,-0.021728026,-0.032126815,-0.058910172,0.313258582
ZYDUSWELL.NS,0.001009204,0.018696236,-0.018550439,-0.023985481,-0.041453526,0.119257716
^NSEI,0.000695977,0.011481443,-0.009791766,-0.014902636,-0.028640367,
